id	name	location	type	cuisines	price	meal_times	short_description	hero_image	logo_image	status_line	hours	reservation_required	reservation_phone	reservation_url	description	attire	signature_title	signature_text	chef_name	chef_bio	gallery
the-ocean-room	The Ocean Room	The Sanctuary		Steakhouse|Seafood	Not found in repo	Dinner	Kiawah's premier steakhouse boasting Forbes Five-Star and AAA Four-Diamond ratings	https://kiawahresort.com/wp-content/uploads/2018/09/Ocean-Room-USDA-prime-21-day-dry-aged-Ribeye-signature-dish-560x340.jpg	https://kiawahresort.com/wp-content/uploads/2022/04/Untitled-10.png	Offering Dine-In Service for Dinner	Tuesday - Saturday | 5:30 - 9pm	TRUE	(855) 458-4881	https://kiawahresort.com/dining/the-ocean-room/						https://kiawahresort.com/wp-content/uploads/2018/09/Ocean-Room-USDA-prime-21-day-dry-aged-Ribeye-signature-dish-560x340.jpg|https://kiawahresort.com/wp-content/uploads/2022/12/Steven-Brooks-1-copy-560x340.jpg	
the-atlantic-room	The Atlantic Room	The Ocean Course Clubhouse		Seafood|Modern American	Not found in repo	Dinner	Iconic seafood restaurant committed to using locally caught, sustainable fish and shellfish	https://kiawahresort.com/wp-content/uploads/2025/02/Atlantic-Room-Country-Captain.jpg	https://kiawahresort.com/wp-content/uploads/2022/04/Atlantic-Room-Logo.png	Temporarily Closed		TRUE	(843) 266-4085	https://kiawahresort.com/dining/the-atlantic-room/						https://kiawahresort.com/wp-content/uploads/2025/02/Atlantic-Room-Country-Captain.jpg|https://kiawahresort.com/wp-content/uploads/2020/12/JohnOndo-e1607974999931-560x340.jpg	
jasmine-porch	Jasmine Porch	The Sanctuary		Lowcountry|Southern	Not found in repo	Breakfast|Lunch|Dinner	Authentic Lowcountry cuisine and gracious southern charm on the menu daily	https://kiawahresort.com/wp-content/uploads/2021/02/Jasmine-Porch-Shrimp-Grits-560x340.jpg	https://kiawahresort.com/wp-content/uploads/2025/04/Jasmine-Porch_Color-Butterfly-1.png	Offering Dine-In Service for Breakfast, Lunch & Dinner	Daily | 6:30am - 9pm	TRUE	(855) 458-4881	https://kiawahresort.com/dining/jasmine-porch/						https://kiawahresort.com/wp-content/uploads/2021/02/Jasmine-Porch-Shrimp-Grits-560x340.jpg|https://kiawahresort.com/wp-content/uploads/2025/05/joehowell-2-560x340.jpg	
ryder-cup-bar	The Ryder Cup Bar	The Ocean Course Clubhouse		Modern Pub Fare|Bar	Not found in repo	Lunch|Dinner	Modern pub fare and creative cocktails with prime views of The Ocean Course	https://kiawahresort.com/wp-content/uploads/2018/10/Ryder_Cup_Bar_Crispy_Shrimp.jpg	https://kiawahresort.com/wp-content/uploads/2018/10/Ryder_Cup_Bar.png	Offering Dine-In and To-Go Service for Lunch & Dinner	Sunday - Wednesday | 11am - 7pm; Thursday - Saturday | 11am - 8pm		(843) 266-4085	https://kiawahresort.com/dining/ryder-cup-bar/						https://kiawahresort.com/wp-content/uploads/2018/10/Ryder_Cup_Bar_Crispy_Shrimp.jpg|https://kiawahresort.com/wp-content/uploads/2020/12/JohnOndo-e1607974999931-560x340.jpg	
tomasso-at-turtle-point	Tomasso at Turtle Point	Turtle Point Clubhouse		Italian	Not found in repo	Lunch|Dinner	Contemporary Italian dishes with a classic foundation, infused with local Lowcountry flavors	https://kiawahresort.com/wp-content/uploads/2018/10/Tomasso_fusilli.jpg	https://kiawahresort.com/wp-content/uploads/2018/10/Tomasso_Logo.png	Offering Dine-In and To-Go Service for Lunch and Dinner	Wednesday - Sunday | 11:30am - 8pm	TRUE	(843) 266-4070	https://kiawahresort.com/dining/tomasso-at-turtle-point/						https://kiawahresort.com/wp-content/uploads/2018/10/Tomasso_fusilli.jpg|https://kiawahresort.com/wp-content/uploads/2026/01/Frank-Dyer-Tomasso.png	
the-players-pub	The Players' Pub	Cougar Point Clubhouse		American|Pub Fare	Not found in repo	Lunch|Dinner	Enjoy comfort food favorites at this classic American pub	https://kiawahresort.com/wp-content/uploads/2022/04/Untitled-10-2-e1748444177497.png	https://kiawahresort.com/wp-content/uploads/2022/04/Untitled-10-2-e1748444177497.png	Offering Dine-In Service for Lunch & Dinner	Thursday - Monday | 11am - 8pm		(843) 768-2771	https://kiawahresort.com/dining/the-players-pub/						https://kiawahresort.com/wp-content/uploads/2022/04/Untitled-10-2-e1748444177497.png|https://kiawahresort.com/wp-content/uploads/2023/01/Colin-Creighton-560x340.jpeg	
cherrywood-bbq-and-ale-house	Cherrywood BBQ & Ale House	Osprey Point Clubhouse		Barbecue|American	Not found in repo	Lunch|Dinner	Genuine southern BBQ and house-made sauces plus over 60 local and imported beers	https://kiawahresort.com/wp-content/uploads/2018/09/CF0A0692-560x340.jpg	https://kiawahresort.com/wp-content/uploads/2018/10/Cherrywood_BBQ_Logo.png	Offering Dine-In and To-Go Service for Lunch & Dinner	Tuesday - Saturday | 11:30am - 8pm		(843) 266-4636	https://kiawahresort.com/dining/cherrywood-bbq-and-ale-house/						https://kiawahresort.com/wp-content/uploads/2018/09/CF0A0692-560x340.jpg|https://kiawahresort.com/wp-content/uploads/2019/06/Keith-Richardson.jpg	
the-nest-market-cafe	The Nest Market | Cafe	Night Heron Park		Cafe|Grab-and-Go|Grocery	Not found in repo	Not found in repo	Grab-and-go meal selections and grocery staples for your island days.	https://kiawahresort.com/wp-content/uploads/2022/09/The-Nest-Logo.jpg	https://kiawahresort.com/wp-content/uploads/2022/09/The-Nest-Logo.jpg	Offering Dine-In and Grab-and-Go Service	Daily | 7am - 8pm		(843) 768-2775	https://kiawahresort.com/dining/the-nest-market-cafe/						https://kiawahresort.com/wp-content/uploads/2022/09/The-Nest-Logo.jpg	
the-perch	The Perch	The Treehouse Activity Center		Casual|Appetizers|Pizza	Not found in repo	Lunch|Dinner	Crowd-pleasing bites and pizza inside the Treehouse Activity Center.	https://kiawahresort.com/wp-content/uploads/2026/01/ThePerch_PrimaryLogo_Color.jpg	https://kiawahresort.com/wp-content/uploads/2026/01/ThePerch_PrimaryLogo_Color.jpg	Now Open	Daily | 11am - 8pm		(843) 768-6025	https://kiawahresort.com/dining/the-perch/						https://kiawahresort.com/wp-content/uploads/2026/01/ThePerch_PrimaryLogo_Color.jpg	
signature-gourmet-coffee-shop	Signature Gourmet Coffee Shop	The Sanctuary		Coffee|Pastries|Sandwiches	Not found in repo	Breakfast|Lunch	Offering gourmet coffee selections as well as fresh pastries, breakfast and lunch sandwiches, and grab-and-go options.	https://kiawahresort.com/wp-content/uploads/2022/04/Signature-Gourmet_Gold-Black.png	https://kiawahresort.com/wp-content/uploads/2022/04/Signature-Gourmet_Gold-Black.png			https://kiawahresort.com/dining/signature-gourmet-coffee-shop/						https://kiawahresort.com/wp-content/uploads/2022/04/Signature-Gourmet_Gold-Black.png			
